Geneid	DA1	DA1c	DA2	DA2c	DA3	DA3c	DB1	DB1c	DB2	DB2c	DB3	DB3c	DD1	DD1c	DD2	DD2c	DD3	DD3c
VCAN-AS1	0	0	0	1	0	0	0	6	0	3	0	3	0	1	0	6	0	1
HAPLN1	0	0	2	3	0	0	0	2	0	5	0	0	5	0	0	1	0	4
RN7SKP295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-620P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242858	2	1	3	0	3	0	0	4	1	2	3	0	4	0	6	2	5	0
RNU4-11P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZP3P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EDIL3	26	159	33	159	21	107	29	741	15	723	13	360	9	123	32	311	15	68
RNU6-448P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDIL3-DT	32	15	15	11	13	27	15	53	4	35	2	14	12	11	5	10	4	19
PPIAP79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249349	0	1	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RBBP4P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249023	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000249842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL5P17	19	3	12	5	12	2	19	14	6	5	18	0	7	1	14	5	8	1
ENSG00000251066	1	0	0	0	1	0	0	1	0	1	1	1	2	0	1	1	3	0
ENSG00000250874	8	0	0	0	0	0	0	1	0	4	6	3	4	0	0	0	2	0
RPS2P25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTP4A1P4	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
NBPF22P	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000280009	2	0	6	0	2	1	1	0	6	1	1	0	4	0	5	0	8	1
ENSG00000248195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248363	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000250124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251585	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7C	8672	1316	6013	827	6583	1104	6379	12949	6521	8096	5917	1713	6382	800	4673	651	7728	638
SNORD138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-804P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02059	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000248701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242477	5	4	6	4	10	3	1	12	2	13	7	2	3	4	5	1	6	1
ENSG00000249061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4280HG	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
RN7SKP34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01949	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	4	0	0
RASA1	65	178	95	198	66	181	46	801	42	853	30	341	63	229	26	560	46	163
RN7SL629P	0	0	0	0	0	2	0	4	0	1	0	0	0	1	0	0	0	0
RNU6-606P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CCNH	382	285	320	288	228	255	267	2284	162	1681	163	662	337	273	228	291	260	231
ENSG00000285190	2	2	2	4	3	0	6	23	7	9	11	7	0	7	2	3	7	6
RNU6-727P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000287783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287862	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000289462	0	1	0	0	0	2	0	16	3	5	0	10	1	2	0	2	0	3
ENSG00000289184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM161B	536	650	463	669	396	654	401	1886	499	1976	413	742	530	528	425	882	461	383
TMEM161B-DT	621	319	389	361	441	371	341	2508	387	1908	314	807	415	453	272	971	357	350
RNA5SP187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3AP22	0	0	0	0	1	2	0	2	0	0	1	0	1	0	0	2	0	0
ENSG00000250306	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0
LINC02060	0	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	0	0
ENSG00000271904	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
LINC00461	10	53	11	39	5	20	12	108	12	121	6	34	7	35	6	43	7	65
H3P23	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C-AS2	2	0	0	3	12	3	6	7	2	6	4	0	6	0	4	0	2	1
ENSG00000289008	0	2	0	0	0	1	0	4	0	0	0	2	2	1	0	0	0	2
ENSG00000250377	3	0	1	2	2	1	5	6	0	2	1	1	4	1	3	0	5	0
ENSG00000250555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	95	251	56	207	73	265	32	934	43	684	34	463	80	513	45	728	47	504
MEF2C-AS1	26	10	10	36	18	14	26	89	27	82	20	20	6	14	8	37	16	12
ENSG00000288740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250831	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0
LINC02161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214942	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
MIR3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01339	0	0	0	7	2	3	3	11	1	8	1	2	2	8	0	3	0	3
ENSG00000253321	16	0	11	0	7	2	5	4	4	3	11	1	10	0	6	1	21	0
ENSG00000260871	0	1	0	0	1	3	0	3	0	4	0	2	0	2	0	3	0	0
CETN3	647	125	426	157	474	163	342	2355	426	1527	332	376	419	143	324	152	497	137
ENSG00000255647	17	4	16	6	17	10	8	40	7	41	13	10	6	0	14	14	22	4
MBLAC2	33	266	33	228	35	238	16	767	30	571	20	420	11	373	6	635	32	394
POLR3G	262	294	205	341	194	395	202	1552	200	1050	158	461	210	334	152	458	158	298
LYSMD3	133	209	89	172	61	194	77	2240	91	1823	56	1009	110	290	87	733	113	188
ADGRV1	199	433	114	473	124	483	128	2474	122	2266	93	1459	140	1221	97	1923	71	830
TMEM251P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LUCAT1	0	10	4	6	4	5	4	28	9	16	1	14	12	4	3	17	10	8
ENSG00000285618	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1
ENSG00000212930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-90P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234292	1	2	0	0	0	3	0	2	0	5	0	2	0	4	0	0	0	0
ENSG00000286638	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	2	0	3
ENSG00000240388	0	0	2	0	1	0	0	2	0	1	1	1	1	0	0	1	0	0
ENSG00000241059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARRDC3	93	354	113	338	65	339	71	2084	60	2182	48	1109	76	1112	36	2499	92	499
ARRDC3-AS1	53	44	102	20	65	30	63	150	83	66	76	70	25	29	57	66	69	32
RAB5CP2	16	5	7	2	17	4	8	0	18	2	15	1	18	0	11	1	7	1
ENSG00000286121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
PCBP2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250049	4	0	2	0	1	0	9	1	0	0	0	0	0	0	1	0	0	0
ENSG00000249776	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000249169	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249984	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
ENSG00000248588	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0
LDHBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT7P2	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0
LINC02058	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251361	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
ENSG00000286509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
POLD2P1	0	3	1	3	1	0	2	3	1	2	4	3	7	0	0	4	0	3
NR2F1-AS1	295	116	245	117	219	88	171	441	204	311	125	194	195	193	145	193	167	243
NR2F1	162	574	122	413	133	407	152	1040	147	591	115	456	159	405	84	506	206	539
ENSG00000289274	0	1	1	2	0	0	0	14	3	8	0	2	0	4	0	5	0	5
ENSG00000278905	0	7	0	1	3	11	0	15	0	9	1	10	1	5	0	14	0	21
FAM172A	318	684	161	511	207	530	152	1125	197	844	125	662	188	699	190	994	190	1142
MIR2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287180	1	0	0	0	0	3	1	4	0	5	0	7	0	2	0	1	0	2
NPM1P27	149	32	92	38	83	16	59	676	74	522	62	107	75	22	54	25	53	15
POU5F2	2	0	0	2	1	4	0	17	0	26	0	25	1	8	0	4	0	7
ENSG00000272406	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0
ENSG00000287447	0	0	0	0	0	0	0	4	0	6	0	2	0	2	0	1	0	0
ENSG00000251023	0	1	0	1	0	2	0	18	0	6	0	3	0	5	0	5	1	4
ENSG00000286577	2	2	0	0	0	1	1	6	0	9	3	6	0	1	0	1	5	2
KIAA0825	31	12	21	19	25	11	21	75	12	68	16	70	7	13	10	67	9	27
MTND5P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND6P3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
MTCYBP35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232578	6	0	2	0	4	0	2	4	10	2	2	0	2	0	2	3	10	1
ENSG00000270133	0	6	0	6	2	5	0	38	0	24	0	24	1	5	1	10	1	5
SLF1	452	500	279	497	359	497	351	2306	263	1668	263	726	317	603	255	1065	339	456
MCTP1	28	47	11	50	7	49	15	230	18	210	16	45	30	50	11	80	3	36
ENSG00000249175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCTP1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81B	12	0	6	4	6	0	15	11	5	0	9	0	17	0	15	0	14	1
RTRAFP2	4	0	2	1	3	1	4	9	1	1	1	4	3	1	5	0	2	2
TTC37	319	1157	257	1237	256	1091	312	5592	180	5234	290	2736	278	3312	183	5978	331	2346
RNU6-308P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARSK	410	233	279	214	296	231	249	1603	303	1388	252	431	282	269	216	384	279	242
GPR150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFESD	161	37	128	60	148	63	119	634	156	420	137	141	125	105	106	110	199	54
SPATA9	11	3	7	3	7	3	0	26	5	22	4	10	4	13	1	24	2	10
ENSG00000250240	3	3	7	3	0	0	0	15	0	13	6	8	2	4	4	8	0	2
RHOBTB3	395	1248	338	1109	270	1165	269	2917	258	2565	201	1104	282	1568	224	2323	327	1849
GLRX	978	272	723	266	618	256	727	3106	755	2314	574	728	744	280	530	291	706	268
HSPD1P11	0	6	0	2	0	6	0	29	0	50	0	20	0	19	0	28	0	36
GGCTP1	15	11	38	0	15	5	15	28	28	28	11	12	36	2	8	3	9	5
ENSG00000251409	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0
LINC01554	0	19	1	13	1	1	2	27	1	16	0	8	0	4	1	14	1	9
ENSG00000272021	0	0	5	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1
ENSG00000250362	9	0	0	0	6	0	2	1	0	5	0	1	0	3	0	0	0	6
ELL2	992	234	671	239	760	211	562	785	699	703	592	292	673	192	655	384	857	167
ENSG00000251314	8	1	2	3	3	0	5	4	2	10	6	1	11	0	0	0	0	2
ENSG00000250955	0	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0
FABP5P5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
MIR583HG	8	0	4	0	0	0	3	4	6	2	12	0	6	0	7	0	21	0
MIR583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289337	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
RNU6-524P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249746	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0
ENSG00000250158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCSK1	2	2	0	0	3	3	1	9	5	11	0	1	2	3	0	10	3	9
CAST	910	1910	806	1630	821	1595	597	6431	709	4524	566	3368	711	2630	446	4114	672	2728
ENSG00000249180	0	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	4	3
ERAP1	66	377	34	382	60	344	88	1547	54	1096	38	1158	32	777	26	1287	49	723
ENSG00000248734	0	11	0	18	0	7	0	37	0	29	0	21	0	12	0	11	0	13
ENSG00000272109	0	0	0	2	0	7	2	5	0	10	0	5	0	3	0	5	0	0
ENSG00000247121	92	53	34	21	59	26	57	76	50	48	36	38	59	38	54	41	74	39
ERAP2	186	346	137	344	112	313	115	1386	106	1247	71	467	93	463	65	791	71	382
LNPEP	66	926	35	688	37	832	60	2769	59	2910	53	1513	46	1125	31	2119	43	1028
ENSG00000227836	2	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0
SETP22	1	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0
LIX1-AS1	4	0	1	2	5	2	6	4	4	11	1	2	11	0	3	14	4	3
LIX1	1	5	1	1	2	14	0	20	9	21	0	7	2	3	1	12	7	2
RIOK2	327	189	209	139	219	190	170	3293	167	2423	134	765	201	227	158	605	242	171
RNU1-73P	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000286828	4	0	0	1	0	0	0	3	0	6	0	1	0	0	0	3	3	2
ENSG00000248758	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	2	0	0
ENSG00000251054	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000249761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YTHDF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01340	1	0	0	1	0	0	0	5	1	1	0	2	0	0	0	0	0	0
MTCYBP40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251193	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000286953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LINC02234	0	0	0	2	0	1	0	2	0	2	0	0	0	0	0	1	0	0
ENSG00000249101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC01846	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME2P1	47	7	38	7	26	6	13	72	14	66	15	21	16	4	22	9	22	3
ENSG00000176183	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KRT8P32	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0
MRPS35P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO1P24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CTBP2P4	0	2	0	1	0	0	0	3	0	3	0	1	1	3	0	1	1	1
DDX18P4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RGMB	162	449	127	338	103	251	120	286	77	202	109	152	102	214	77	348	147	403
RGMB-AS1	9	12	4	19	7	10	23	32	14	21	6	24	10	9	9	13	19	21
ENSG00000279232	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	4
CSNK1A1P3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHD1	363	1465	238	1354	213	1182	248	3563	244	2935	162	1726	266	1468	186	2790	230	1241
RNU6-402P	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0
CHD1-DT	63	83	27	61	66	63	43	379	42	244	23	106	65	80	23	96	67	79
ENSG00000241597	0	0	0	0	0	4	0	3	0	0	0	0	0	4	0	2	0	0
ENSG00000249444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206356	0	2	0	1	0	0	0	0	0	1	1	0	0	1	0	2	0	1
GUSBP8	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	4	0	2
LINC02113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000248236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRLF3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1A1P20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCYBP22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND6P22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MTND5P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND4P35	0	2	0	4	0	0	0	4	0	1	0	2	0	1	0	0	0	0
MTND4LP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND3P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO3P22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MTATP6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P22	0	0	0	0	0	0	0	3	0	2	0	4	0	0	0	0	0	1
MTCO1P22	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0
GUSBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RNU6-1119P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275374	0	7	0	0	0	3	0	7	0	8	1	4	0	2	0	7	0	2
ENSG00000273957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000249787	0	0	0	0	0	1	0	1	2	0	0	2	0	2	0	7	0	0
FAM174A-DT	5	2	0	0	3	0	3	14	1	13	1	12	6	4	3	10	0	5
FAM174A	1893	231	1312	144	1226	169	932	863	973	540	815	237	1154	157	975	250	886	282
ENSG00000250806	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RN7SKP62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA4	36	46	18	90	15	53	12	318	18	268	14	107	8	80	10	146	27	123
MIR548P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL802P	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7H2P	3	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
ENSG00000249495	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RNA5SP188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248261	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0
SLCO4C1	23	78	34	93	23	70	19	413	6	372	18	230	15	157	10	305	18	220
RN7SKP68	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
SLCO6A1	0	11	5	12	6	22	3	28	3	35	1	14	5	12	2	15	9	7
ENSG00000249017	0	0	0	0	0	1	0	1	0	3	0	5	0	1	0	0	0	3
LINC00492	0	0	0	1	0	1	0	3	0	4	0	1	0	0	0	1	0	1
LINC00491	79	68	32	86	66	92	37	453	32	379	25	165	25	88	29	143	20	71
ENSG00000247402	0	6	0	4	0	4	0	11	0	15	0	12	0	10	0	9	0	7
ENSG00000286338	0	6	0	3	0	0	0	2	0	4	0	0	0	2	0	1	0	0
PAM	129	955	64	998	124	1045	58	5527	64	4276	26	3296	49	2260	37	3378	55	1667
EIF3KP1	2	0	1	1	0	0	1	3	1	2	0	0	0	0	0	4	0	0
GIN1	96	43	69	44	77	45	73	369	86	287	49	68	61	51	56	129	69	100
PPIP5K2	60	408	61	431	58	399	36	1773	46	1803	36	903	49	883	39	1800	85	982
ENSG00000248203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MACIR	368	359	299	364	284	434	270	1656	290	1066	278	579	277	335	224	400	238	318
ENSG00000250567	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
PDZPH1P	0	1	1	0	0	1	0	6	1	2	1	0	0	1	0	2	0	0
LINC02115	0	0	0	1	0	0	0	5	6	3	0	1	0	0	0	1	2	1
NUDT12	88	54	58	76	19	64	36	656	39	611	39	217	35	137	45	368	49	75
ENSG00000283462	8	0	0	1	0	0	2	3	0	2	7	2	11	0	0	0	1	0
LINC02163	11	18	1	8	9	11	13	57	7	69	3	19	18	2	3	5	2	3
RNU1-140P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL255P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251574	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
ENSG00000278958	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSG00000253776	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-334P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB9BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251204	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000250145	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000252337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01950	0	0	0	1	0	0	0	1	4	1	0	0	1	0	0	0	2	0
PSMC1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA5	142	1012	85	832	101	810	66	3906	97	3932	70	1083	84	906	44	1621	80	666
ENSG00000249959	63	0	38	0	20	0	62	7	27	5	17	0	40	0	16	0	33	1
ENSG00000248827	0	2	0	0	0	1	0	2	0	0	0	2	0	2	0	0	0	0
RN7SL782P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL17	88	60	87	59	49	82	57	255	52	216	25	110	57	137	15	120	61	130
ENSG00000286503	5	3	2	1	4	3	2	1	9	0	3	0	7	2	5	1	5	3
ENSG00000244245	65	6	49	2	60	4	60	35	61	15	42	5	48	8	43	4	70	5
LINC01023	33	6	9	8	16	7	22	44	18	18	15	9	31	7	11	8	19	5
ENSG00000289260	47	10	36	1	54	0	48	48	43	19	45	13	45	8	22	13	73	8
FER	112	350	100	283	70	294	83	1268	76	1165	71	460	80	427	81	811	123	391
RACK1P1	5	4	7	2	3	1	4	19	1	9	4	4	4	4	1	3	2	4
ENSG00000250383	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000250441	2	0	1	1	2	0	0	3	0	4	2	1	0	0	0	1	2	0
RNU6-47P	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0
GJA1P1	0	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	0
ENSG00000286882	0	0	3	0	0	0	0	3	0	4	0	1	5	1	0	0	0	0
ENSG00000249476	0	1	3	7	0	6	12	13	0	7	3	4	0	3	0	5	0	3
PJA2	611	1519	405	1280	447	1547	399	8038	412	6316	281	3663	465	1984	316	3663	476	1871
ENSG00000248867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT18P42	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
MAN2A1-DT	2	3	0	1	0	10	0	5	9	3	10	0	1	0	0	4	0	2
MAN2A1	89	341	63	325	63	367	44	1098	53	1057	70	372	69	276	52	560	89	213
RN7SKP230	1	0	0	0	0	0	0	1	1	0	1	0	2	2	0	0	0	1
ENSG00000249068	0	4	0	0	0	3	0	17	0	18	0	3	0	6	0	20	0	5
LINC01848	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	0
PGAM5P1	0	2	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0
TMEM232	152	11	117	12	81	11	58	72	54	58	76	13	98	10	66	18	45	14
MIR548F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A46	980	750	644	625	616	664	490	3718	519	3096	513	1508	562	650	427	1091	613	477
ENSG00000270779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCLAF1P1	0	1	1	3	2	0	0	5	1	1	0	1	0	0	0	1	0	1
ENSG00000248428	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000251627	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
