Geneid	D1	D1c	D2	D2c	D3	D3c	ND1	ND1c	ND2	ND2c	ND3	ND3c
RNU6-983P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228167	0	0	3	0	3	0	0	0	0	2	0	1
ENSG00000285718	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287364	0	0	0	0	0	0	0	0	0	1	0	0
LINC01724	0	0	6	0	0	0	0	0	0	0	0	0
KCNT2	0	1	0	1	0	2	0	0	0	0	0	1
MIR4735	0	0	0	0	0	0	0	0	0	0	0	0
CFH	4	148	13	73	2	87	0	3	0	6	0	2
CFHR3	0	17	5	7	0	11	0	1	0	4	7	2
CFHR1	5	1	3	0	8	0	0	0	1	0	0	0
ENSG00000285986	0	0	0	0	0	0	0	0	0	0	0	0
CFHR4	0	0	3	0	0	0	0	0	0	1	0	0
CFHR2	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273844	0	0	0	0	0	0	0	0	0	0	0	0
CFHR5	0	0	0	0	0	0	0	0	0	0	0	0
F13B	0	0	0	1	0	0	1	0	0	1	0	0
ASPM	53	856	54	534	85	638	67	1905	91	2848	85	2751
SEPTIN14P12	0	1	0	1	0	0	0	3	0	2	0	0
ZBTB41	29	937	44	612	49	642	5	624	38	530	37	494
ENSG00000237861	0	0	0	3	1	0	0	0	0	3	0	1
CRB1	1	2	2	0	0	0	0	4	0	0	0	1
MRPS21P3	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230260	0	0	0	0	0	0	0	0	0	0	0	0
DENND1B	38	342	37	177	35	230	3	233	10	229	9	213
EEF1A1P32	0	0	1	0	0	0	0	0	0	3	0	0
ENSG00000235582	54	2	60	0	84	2	11	1	13	2	24	4
FAM204BP	1	0	2	0	2	0	1	1	1	0	1	0
ENSG00000224901	0	0	0	0	0	0	0	0	0	0	0	0
C1orf53	1024	187	1028	114	1180	135	904	71	935	59	462	66
LHX9	5	15	3	4	6	8	7	6	1	3	0	3
NEK7	253	2501	318	1499	286	1346	105	466	86	548	93	907
PRR13P1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287989	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223881	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	0	13	0	6	0	8	0	0	0	0	0	0
ENSG00000261573	0	1	0	0	0	0	0	0	0	0	0	0
PEBP1P3	0	0	0	0	0	0	0	0	0	0	0	0
MIR181A1HG	16	7	3	6	3	11	0	7	0	1	0	1
MIR181B1	0	0	0	0	0	0	0	0	0	0	0	0
MIR181A1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227747	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225172	0	0	0	0	0	0	0	0	0	0	0	0
LINC01222	0	0	0	0	0	0	0	0	0	0	0	0
LINC01221	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286541	0	0	0	0	0	0	0	0	0	0	0	0
LINC02789	0	3	0	0	0	0	0	0	0	0	0	0
RPL23AP16	4	0	2	0	1	0	0	1	2	0	0	0
ENSG00000236468	0	1	0	0	0	0	0	0	2	0	0	0
ENSG00000231984	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228530	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-778P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229747	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-716P	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-609P	0	0	0	0	0	0	0	0	0	0	0	0
NR5A2	15	398	18	263	12	242	0	151	10	96	3	92
RNU6-570P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229220	0	1	0	0	0	0	0	0	0	1	0	0
CCNQP1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00862	7	0	9	4	14	5	0	13	0	8	0	12
ENSG00000273093	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213045	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230623	2	2	1	1	1	4	0	0	0	0	0	2
ZNF281	38	1303	62	782	23	816	44	1221	41	1201	26	1046
ENSG00000282849	0	4	6	2	13	7	0	1	0	2	0	1
KIF14	37	300	18	151	18	196	45	913	74	991	57	833
DDX59	150	676	189	377	154	464	121	595	133	535	69	576
DDX59-AS1	37	4	44	1	42	0	41	1	26	1	4	0
CAMSAP2	151	753	103	467	118	735	111	521	133	541	139	492
RPL34P6	2	0	3	0	7	0	3	2	4	0	1	4
GPR25	0	0	0	0	0	0	0	0	0	0	0	0
INAVA	10	1211	9	770	14	1159	2	618	18	535	4	700
MROH3P	4	0	0	0	6	2	0	0	0	0	2	0
RNU6-704P	0	0	0	0	0	0	0	0	0	0	0	0
KIF21B	0	17	0	10	1	30	0	62	0	70	0	85
ENSG00000229191	0	1	0	0	0	1	0	0	0	1	0	0
ENSG00000234132	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1S	0	0	0	0	0	0	0	0	0	0	0	0
ASCL5	0	0	4	1	7	1	0	0	4	2	0	3
TMEM9	222	2322	174	1317	251	1937	180	1604	362	1439	130	1663
IGFN1	5	11	2	3	4	12	1	18	4	26	0	26
ENSG00000229821	0	0	0	0	0	0	0	0	0	0	0	0
PKP1	0	3	0	5	0	3	0	3	0	5	0	1
TNNT2	1	2	0	0	0	4	0	1	0	1	3	0
ENSG00000286600	0	0	0	0	0	2	0	0	0	0	0	0
LAD1	87	777	11	563	34	1004	97	1133	48	1002	32	1259
ENSG00000282221	6	12	13	8	18	20	1	6	6	5	1	15
TNNI1	0	35	0	27	0	52	0	18	0	13	0	17
ENSG00000227048	0	0	0	0	0	0	0	0	0	0	0	0
PHLDA3	57	579	77	501	69	1153	64	174	108	174	37	274
ENSG00000224818	0	0	0	0	0	0	0	0	0	0	0	0
CSRP1	42	1079	30	690	42	969	33	956	40	909	12	1007
ENSG00000224536	8	7	7	6	13	6	15	3	25	4	18	5
RPS10P7	8	6	7	4	12	8	17	7	5	12	33	11
NAV1	18	2267	33	1400	35	2545	89	1357	34	1355	27	1412
ENSG00000236390	0	0	0	0	0	0	0	2	0	0	0	0
IPO9-AS1	14	3	13	0	13	0	2	2	0	2	2	1
MIR5191	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235121	0	4	0	0	0	3	0	4	0	5	0	1
RNU6-501P	0	1	0	2	0	0	0	0	0	3	0	0
MIR1231	0	0	0	0	0	2	0	1	0	0	0	0
IPO9	185	2355	196	1443	139	1695	193	3558	190	3222	104	3352
MIR6739	0	0	0	0	0	0	0	3	0	2	0	1
SHISA4	82	451	71	263	104	401	110	149	135	142	39	188
ENSG00000223774	0	0	0	0	0	1	0	0	0	1	0	3
LMOD1	1	9	0	4	0	16	0	8	0	5	0	10
TIMM17A	4036	2081	4286	1208	4363	1716	908	2260	1695	1947	1233	1857
SNORA70H	1	0	2	0	0	0	0	0	0	0	0	0
RPL10P4	17	0	6	0	7	1	3	2	5	0	1	0
RNPEP	67	2572	59	1563	61	1965	18	729	38	859	33	1247
ELF3-AS1	91	757	76	423	98	588	32	149	31	160	32	193
MIR6740	0	1	0	0	0	0	0	0	0	0	0	0
ELF3	124	9887	132	6381	85	7839	91	3021	124	2748	60	3228
ENSG00000249007	0	52	4	47	0	41	0	21	0	26	0	22
ENSG00000232296	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235811	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1P3	0	0	1	0	0	0	0	0	0	1	0	0
GPR37L1	2	129	0	93	1	108	0	14	0	16	2	19
ARL8A	22	63	23	34	31	90	7	29	12	33	32	20
PTPN7	0	0	0	4	0	1	0	1	0	2	0	0
PTPRVP	0	0	0	0	3	0	0	2	0	0	0	1
LGR6	3	186	19	116	0	190	0	184	9	139	0	186
UBE2T	1610	831	1551	497	1892	578	255	1690	362	1506	351	1426
PPP1R12B	8	905	20	546	16	782	58	891	6	719	21	848
CYCSP4	0	0	0	0	0	0	0	0	0	1	0	1
RNU6-89P	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000232626	0	3	0	2	0	5	0	3	0	3	0	3
ENSG00000236439	30	1	27	0	38	1	15	0	29	0	11	0
SYT2	0	7	0	5	0	9	0	5	3	10	3	6
ENSG00000226862	0	2	0	0	0	5	0	2	0	8	0	4
ENSG00000225620	0	0	0	0	0	0	0	0	0	0	0	0
KDM5B	64	3302	110	2182	139	2731	83	2300	86	2078	133	2346
ENSG00000235449	9	4	2	4	3	1	2	8	1	1	1	2
SLC25A39P1	1	6	0	4	0	6	0	9	0	11	0	6
ENSG00000260021	6	5	6	2	2	3	1	0	0	0	1	0
PCAT6	21	35	7	14	10	27	7	9	6	5	0	16
MGAT4EP	0	2	0	4	0	11	0	3	0	4	0	0
TUBA5P	72	103	42	64	60	123	12	80	37	75	38	65
ACTG1P25	0	54	2	31	2	45	0	27	0	12	0	28
RABIF	1253	626	1152	413	1254	449	852	440	1349	426	772	442
KLHL12	26	1253	54	757	80	774	7	1279	44	1113	10	1222
HNRNPA1P59	1	2	0	2	0	4	0	6	0	9	0	8
ADIPOR1	620	5049	712	3254	788	3393	269	2804	337	2974	175	3143
CYB5R1	78	1324	67	956	73	1201	133	558	26	540	105	515
MGAT4FP	1	0	2	0	0	0	0	0	0	1	0	0
ENSG00000231547	0	0	0	0	0	0	0	0	0	0	0	0
TMEM183A	465	861	436	499	499	662	60	383	120	471	135	591
PPFIA4	0	17	0	7	0	11	0	45	10	37	2	90
MYOG	0	0	0	0	0	0	0	0	0	0	0	0
ADORA1	4	106	0	81	0	154	1	195	0	191	0	272
ENSG00000234775	0	0	0	0	0	0	0	4	0	0	0	3
ENSG00000224671	0	0	0	0	0	0	0	0	0	0	0	2
MYBPH	0	0	0	0	0	0	0	2	0	0	8	1
CHI3L1	0	5	0	0	0	1	0	1	0	5	0	2
CHIT1	0	0	0	0	0	0	0	2	0	3	0	1
NPM1P40	0	1	0	1	4	2	0	0	3	1	0	1
LINC01353	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000288925	0	0	0	0	1	0	0	0	0	0	0	0
LINC01136	8	1	28	0	15	1	0	1	5	1	2	3
BTG2	4	105	2	71	0	67	0	30	4	14	1	15
RNU6-487P	0	0	0	0	0	0	0	0	0	0	0	0
FMOD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229652	4	2	3	1	7	0	1	0	1	2	0	3
LARP7P1	0	0	0	0	0	0	0	0	0	0	0	0
PRELP	0	1	0	2	3	5	0	2	0	2	0	1
OPTC	0	0	0	0	0	0	0	0	0	1	0	0
ATP2B4	41	3481	42	2308	32	3270	104	2515	49	2306	59	2318
NSA2P1	3	0	4	0	7	1	1	2	1	2	0	1
SNORA77	0	0	4	1	0	0	0	2	0	1	2	0
LAX1	0	0	0	2	0	4	0	2	0	0	0	3
ZC3H11A	7	20	10	7	16	9	7	16	0	20	0	27
ZBED6	4	18	6	5	4	8	2	6	0	15	0	14
ENSG00000288644	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227417	0	1	0	2	0	4	0	1	0	5	0	7
RPL35AP5	10	1	2	0	21	0	5	0	2	1	12	3
SNRPE	8216	1384	8835	832	9045	1400	2787	1830	4338	1618	3144	1704
KRT8P29	5	2	0	0	0	0	0	0	0	0	0	0
HSPE1P6	3	0	4	0	2	0	0	0	1	0	12	1
CBX1P3	5	2	6	0	2	0	0	0	0	1	0	0
ENSG00000286383	1	0	1	0	0	0	0	0	0	0	0	0
LINC00303	0	0	0	0	2	0	3	1	4	0	13	0
ENSG00000286572	1	1	0	0	1	0	10	0	0	1	1	0
SOX13	12	371	1	272	1	561	2	522	11	553	16	636
ENSG00000261065	0	0	0	0	0	0	0	0	0	0	0	0
ETNK2	8	321	7	206	7	270	9	165	5	224	7	302
ERLNC1	0	0	0	0	0	0	0	0	0	0	0	0
REN	1	11	22	1	8	14	0	103	0	75	0	102
ENSG00000225522	7	0	3	0	2	1	2	11	0	10	0	19
KISS1	10	1	15	2	15	1	2	3	20	15	8	9
GOLT1A	464	96	469	66	559	116	255	248	446	252	303	280
PLEKHA6	10	1746	39	1017	22	1626	65	1237	49	1241	19	1361
ENSG00000231691	0	2	0	0	0	1	0	4	0	0	0	2
ENSG00000219133	65	3	57	0	51	0	18	5	37	3	21	2
LINC00628	1	2	0	0	0	1	0	2	0	2	0	5
ENSG00000226330	10	4	8	2	14	1	0	4	5	10	0	11
ENSG00000237848	0	0	0	0	0	0	0	0	1	0	0	0
PPP1R15B	38	2539	63	1650	41	1967	18	1646	19	1418	43	1455
ENSG00000288934	2	31	0	17	10	27	0	3	0	3	1	2
PIK3C2B	7	2247	5	1373	3	2157	69	1818	36	1965	47	2214
MDM4	119	943	105	549	70	805	88	1628	128	1913	52	1912
ENSG00000236779	0	1	1	4	0	2	0	1	0	6	0	6
RNA5SP74	3	0	2	1	4	0	0	0	0	0	0	0
ENSG00000240710	0	1	0	2	0	0	0	1	0	3	0	1
LRRN2	0	9	0	9	0	11	0	20	0	10	0	13
ENSG00000240219	0	0	0	0	0	1	0	7	0	3	0	2
ENSG00000228153	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP75	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251861	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287197	0	0	0	0	0	0	0	0	0	0	0	0
NFASC	0	2	0	0	0	6	0	1	0	0	0	1
ENSG00000229657	0	0	0	0	0	0	0	0	1	0	0	0
CNTN2	0	0	0	0	0	3	0	2	0	2	0	0
TMEM81	0	57	3	30	6	70	8	54	2	58	0	44
RBBP5	72	758	136	535	61	633	86	976	53	893	37	786
ENSG00000271580	0	4	0	0	0	0	0	0	0	0	0	3
ENSG00000236108	0	0	0	0	0	0	0	0	0	0	0	0
DSTYK	36	591	36	381	35	539	65	394	62	411	35	426
ENSG00000213041	5	1	1	0	2	0	2	0	3	0	0	0
TMCC2	0	26	6	18	0	24	3	9	0	17	3	13
TMCC2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
NUAK2	5	826	4	553	14	553	1	144	11	88	5	139
KLHDC8A	0	0	0	0	0	2	0	0	0	1	0	0
SNRPGP10	598	25	493	6	578	21	161	20	214	25	181	20
LEMD1-AS1	0	0	0	0	0	0	0	0	0	1	0	1
LEMD1	196	289	158	187	231	333	22	38	54	20	81	41
BLACAT1	9	239	3	143	0	190	2	329	0	265	13	348
MIR135B	0	0	0	0	0	0	0	0	0	0	0	0
LEMD1-DT	0	0	0	0	6	0	0	0	0	1	0	0
CDK18	7	484	0	272	7	438	5	304	7	277	0	357
RNU2-19P	0	0	0	0	0	0	0	0	0	0	0	0
MFSD4A	9	435	5	331	3	379	7	91	2	81	6	135
RNU6-418P	0	1	0	0	0	1	0	2	0	2	0	2
ELK4	149	973	209	644	228	959	79	1098	85	1002	81	938
ENSG00000236942	1	5	5	5	6	2	5	4	3	5	3	4
SLC45A3	1	115	1	63	3	73	8	883	8	836	0	1049
NUCKS1	1165	3867	1509	2392	1095	3374	460	6816	871	6256	537	5320
SNORA72	0	0	0	0	0	0	0	0	0	4	0	0
RAB29	37	549	28	335	38	576	33	674	43	550	21	595
ENSG00000285521	0	0	0	0	0	0	0	0	0	0	0	0
SLC41A1	16	1275	16	838	11	1012	20	1007	12	996	26	1004
ENSG00000286619	7	19	3	12	1	14	2	7	0	5	6	8
PM20D1	0	1	0	1	1	0	0	0	0	0	0	0
SLC26A9	2	12	0	1	0	4	2	36	0	46	0	30
ENSG00000227687	0	0	0	0	0	0	0	0	0	0	0	0
RAB7B	0	2	0	1	0	1	0	8	3	5	0	11
CTSE	2	85	32	52	3	80	4	23	19	26	0	20
ENSG00000285417	0	2	0	0	0	0	0	0	0	0	0	0
RHEX	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000252692	0	0	0	0	0	0	0	0	0	0	0	0
AVPR1B	3	0	0	0	0	0	0	1	0	1	0	0
ENSG00000226780	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287432	0	0	0	0	0	0	0	0	0	0	0	0
RPL22P4	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000236889	0	0	0	0	0	0	0	0	0	0	0	0
FAM72A	27	17	21	9	33	14	8	24	8	31	0	40
SRGAP2	3	1358	11	975	13	1496	35	1648	63	1413	74	1569
ENSG00000229509	0	0	0	0	0	0	0	0	0	0	0	0
IKBKE	70	861	72	626	46	709	56	417	84	360	64	442
MIR6769B	0	0	0	0	0	0	0	0	0	0	0	0
C1orf147	0	3	0	7	0	2	0	3	0	4	0	6
ENSG00000261000	0	2	0	0	0	0	0	0	0	0	0	0
RASSF5	14	490	42	368	12	433	1	73	6	88	10	96
ENSG00000234981	1	2	0	0	2	0	1	2	0	2	0	0
ENSG00000279946	0	2	0	0	0	0	0	0	0	4	0	0
EIF2D	353	1326	426	817	397	1009	112	1364	274	1280	107	1315
DYRK3-AS1	6	1	0	1	0	4	0	2	0	1	0	0
DYRK3	18	80	45	56	44	67	29	51	10	55	1	50
MAPKAPK2	39	272	37	137	32	403	10	172	27	135	13	171
ENSG00000224114	91	5	83	10	129	10	70	11	64	16	80	9
IL10	1	0	0	0	9	0	0	0	0	0	0	0
IL19	17	1	3	0	0	0	0	0	0	0	0	0
IL20	2	0	4	0	1	0	0	0	0	0	0	0
IL24	5	2	7	2	1	0	0	0	0	1	0	3
FCMR	14	4	9	3	17	9	8	1	10	4	18	1
ENSG00000271680	6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226945	5	2	17	1	7	1	0	0	13	1	4	0
PIGR	1	32	0	28	0	55	0	10	0	3	0	7
FCAMR	1	1	0	1	0	1	0	0	0	0	0	0
C1orf116	9	1389	9	845	5	1077	19	449	33	373	12	465
PFKFB2	8	533	37	311	25	341	0	504	20	507	12	485
YOD1	70	491	47	302	33	294	19	515	65	422	15	379
C4BPB	83	428	67	214	131	400	9	20	24	13	32	15
C4BPA	0	2	0	1	0	6	0	0	0	0	0	0
ENSG00000275392	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226565	0	0	0	0	0	0	0	0	0	0	0	0
C4BPAP1	6	19	1	7	4	32	0	23	0	8	1	14
ENSG00000243636	4	7	0	2	3	0	0	3	0	3	0	7
C4BPAP2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237074	2	0	0	0	0	1	0	0	0	1	0	0
CD55	2057	4965	2290	3072	2203	3006	618	960	951	797	752	823
ENSG00000283044	0	0	0	0	0	0	0	0	0	0	0	0
CR2	13	85	24	48	7	54	0	138	0	120	1	95
CR1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236911	0	0	0	0	0	0	0	0	0	0	0	0
CR1L	1	0	0	2	0	0	0	0	13	0	0	0
CD46P1	0	0	0	0	0	0	0	0	0	0	0	0
CDCA4P3	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP534	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285239	0	0	0	0	0	0	0	0	0	0	0	0
CD46	229	5758	346	3836	292	3032	127	5953	148	5331	111	5160
CDCA4P4	0	0	0	1	0	0	0	1	0	1	0	4
MIR29B2CHG	8	21	15	11	12	9	2	44	1	52	8	74
MIR29C	0	0	0	0	0	0	0	0	0	0	0	0
MIR29B2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289071	0	0	0	0	0	0	0	0	0	0	0	0
CD34	0	4	0	0	0	1	0	0	0	0	0	0
ENSG00000285719	0	0	0	0	0	0	0	0	0	0	0	0
LINC02767	0	1	0	0	1	1	0	2	0	0	0	1
PLXNA2	17	847	4	558	27	748	46	789	26	806	32	1089
ENSG00000287220	0	4	0	0	0	0	0	0	0	0	0	0
ENSG00000286198	2	2	0	4	1	3	0	0	0	1	0	1
ENSG00000226843	0	0	0	0	0	0	0	0	0	0	0	0
LINC01735	0	0	0	0	0	0	0	0	0	0	0	0
LINC02769	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P13	19	1	16	1	35	0	6	1	18	2	7	0
LINC01717	0	0	0	0	2	0	0	0	0	0	0	0
LINC01774	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278684	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287046	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232537	1	0	16	0	21	0	0	1	3	0	0	0
ENSG00000228081	0	0	0	0	0	0	0	0	0	0	0	0
TFDP1P1	4	0	0	0	8	0	0	0	7	0	0	0
ATP5MC2P1	2	1	0	0	2	0	0	0	3	0	1	0
LINC01696	0	0	0	0	0	0	0	0	0	0	0	0
LINC01698	0	0	0	0	0	0	0	0	0	0	0	0
MIR205HG	481	656	433	384	428	537	145	2176	326	1984	117	1952
MIR205	0	7	0	1	0	6	0	27	0	16	0	34
ENSG00000224260	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287902	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1G	0	8	1	2	2	3	0	1	0	5	4	1
LAMB3	287	6802	233	4199	340	5989	480	4664	423	4271	197	5335
MIR4260	0	0	0	0	0	0	0	1	9	0	0	0
HSD11B1-AS1	60	0	60	0	74	1	47	0	34	1	9	3
G0S2	726	83	801	65	766	88	671	368	952	336	356	446
HSD11B1	2	0	0	0	0	0	0	1	0	0	0	1
ADORA2BP1	0	0	0	0	0	0	0	0	0	0	0	0
TRAF3IP3	1	5	11	2	9	1	0	3	0	1	0	1
C1orf74	9	238	19	126	25	144	0	225	20	201	1	241
IRF6	67	1168	49	813	65	873	23	872	41	740	16	796
UTP25	11	1113	16	691	42	807	50	1223	3	1114	29	1149
SYT14	2	31	0	16	2	9	0	54	4	42	0	38
ENSG00000287343	0	1	0	0	0	0	0	0	0	1	0	0
SERTAD4-AS1	259	34	234	19	228	36	212	25	256	14	153	16
SERTAD4	34	588	55	385	32	489	11	152	0	161	15	209
ST13P19	11	6	28	10	8	3	8	7	0	7	1	6
ENSG00000233455	0	0	0	0	0	0	0	0	0	0	0	0
HHAT	10	706	6	477	6	535	0	91	0	78	11	84
ENSG00000287354	0	4	0	3	0	0	0	0	0	0	0	0
RNU5A-8P	0	0	0	1	2	0	1	0	1	0	0	0
ENSG00000287157	0	2	0	1	0	0	0	0	0	0	0	0
BPNT2P1	0	0	0	0	0	0	0	0	0	0	0	0
KCNH1	0	16	0	8	0	10	0	0	0	0	0	0
ENSG00000279333	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284299	0	0	0	0	0	0	0	0	0	0	0	0
IPO8P1	0	0	0	1	0	0	0	1	0	1	0	1
ENSG00000283952	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284376	1	0	0	0	3	0	0	0	0	0	0	0
KCNH1-IT1	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000234004	0	1	3	1	9	0	3	0	0	0	0	2
PRELID1P5	1	2	1	2	1	0	1	0	1	2	1	1
RCOR3	123	676	232	497	179	450	38	435	82	425	70	381
TRAF5	13	344	1	196	10	256	26	262	18	276	1	281
ENSG00000287033	0	2	1	0	0	0	0	0	0	0	0	0
LINC00467	1908	108	2032	69	1922	103	848	188	1176	224	828	167
SNX25P1	24	0	13	0	4	0	0	0	5	0	0	0
ARPC3P2	0	0	2	0	3	0	0	0	0	1	0	0
RD3	0	11	0	3	0	11	0	24	0	18	0	20
ENSG00000223649	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A1	76	1940	49	1338	75	1387	30	840	60	853	59	989
ENSG00000261314	0	0	0	0	0	1	0	1	0	1	0	2
ENSG00000288738	25	88	31	64	33	61	58	48	78	43	101	49
ENSG00000228792	10	16	8	6	8	9	9	1	0	4	0	1
LINC01693	4	3	0	3	1	5	0	0	0	3	3	1
NEK2	82	461	76	247	75	264	50	1154	33	1044	38	1066
FDPSP8	0	0	0	0	0	0	0	2	0	1	0	0
ENSG00000231057	4	4	7	2	8	2	0	1	0	3	1	4
ENSG00000226868	0	0	0	0	0	0	0	0	0	0	0	0
LPGAT1	142	549	164	379	121	349	54	526	87	456	45	515
RN7SL344P	0	0	0	0	0	0	0	0	0	0	0	0
LPGAT1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233626	0	1	0	0	0	0	0	1	0	0	0	0
INTS7	94	646	87	397	72	329	5	743	57	694	30	770
ENSG00000212187	0	0	0	0	0	0	0	0	0	0	0	0
DTL	63	362	28	225	39	225	15	910	39	1008	58	849
RPL21P28	348	13	416	3	459	13	186	14	216	21	177	12
MIR3122	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP98	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229983	0	0	0	0	2	0	0	0	3	0	0	0
LINC02608	25	6	11	0	12	2	5	2	5	4	6	5
PPP2R5A	331	318	345	195	288	386	246	209	259	182	138	203
ENSG00000230063	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000234915	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP18	71	2	53	4	54	7	32	3	55	5	25	6
SNORA16B	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000229832	0	0	0	0	0	0	0	2	0	0	0	1
PACC1	281	641	274	419	327	483	83	537	178	457	114	468
ENSG00000287445	165	15	135	7	151	20	146	15	136	11	85	6
NENF	1955	540	2183	459	2595	1119	948	160	1363	158	703	288
LINC02771	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286213	0	0	0	0	0	0	0	0	0	0	0	0
LINC01740	4	0	16	0	16	1	0	0	2	0	0	0
ENSG00000260805	3	16	7	9	7	15	3	7	3	0	0	2
ENSG00000288007	1	0	0	1	0	0	0	0	0	1	0	0
ATF3	230	554	291	416	278	503	86	147	61	125	131	126
ENSG00000235862	0	0	0	0	0	0	0	0	0	0	0	0
FAM71A	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000226036	0	0	0	0	0	0	0	0	14	0	0	0
LINC02773	0	0	0	0	1	1	2	0	0	0	0	0
BATF3	44	5	47	2	73	4	32	2	43	5	15	3
NSL1	1339	640	1224	378	1172	424	445	613	688	585	589	579
TATDN3	558	172	467	111	478	121	238	225	281	164	144	174
ENSG00000236905	9	2	1	0	4	0	0	0	0	0	0	0
SPATA45	0	0	0	1	0	0	0	1	4	0	3	0
FLVCR1-DT	110	87	108	51	94	97	74	65	59	76	57	68
ENSG00000235182	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236317	0	0	0	0	0	0	0	0	0	2	0	0
FLVCR1	41	167	37	82	51	138	9	243	6	281	23	218
ENSG00000282718	0	0	0	0	0	2	0	0	0	0	0	0
VASH2	0	8	0	0	0	4	0	1	0	8	0	6
ANGEL2	176	464	255	339	282	269	112	498	87	499	84	406
RPS6KC1	91	852	73	492	57	469	62	692	48	602	77	566
RPL31P13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225233	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000228255	0	0	0	0	0	0	0	0	0	0	0	0
PROX1-AS1	0	0	0	0	3	0	1	0	0	0	0	0
LINC00538	0	0	0	0	0	0	0	0	0	0	0	0
PROX1	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000274895	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272167	0	0	0	0	0	0	0	0	0	0	0	0
LINC02775	0	0	0	0	0	0	0	0	1	0	0	0
SMYD2	488	2679	473	1591	422	2068	105	916	295	945	85	1047
ENSG00000228470	0	2	2	1	2	0	0	1	3	3	6	0
PTPN14	22	2023	26	1322	61	1654	71	894	24	845	15	880
ENSG00000213036	4	4	3	1	6	3	1	5	3	2	6	4
KRT18P12	0	0	0	0	0	0	0	0	0	0	0	0
CENPF	116	1586	81	1010	83	1382	321	4381	225	4760	164	4179
ABHD17AP3	0	0	0	0	0	0	1	0	1	0	0	0
UBE2V1P13	0	0	0	0	0	0	0	0	0	0	0	1
